mod_id,name_cn,local_name_en,notes,tags,nexus_url,title_en,author,category,summary,thumbnail,nexus_requirements
36952,几款暖暖发型、配饰,,,#暖暖｜#服饰｜美化,https://www.nexusmods.com/stardewvalley/mods/36952,Nikki hairstyle and accessories,BeiYuan,未知分类,Hairstyles and accessories from Nikki,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/36952.png,
36962,三套无限暖暖的经典服装,,,#暖暖｜#服饰｜美化,https://www.nexusmods.com/stardewvalley/mods/36962,Nikki Clothing,luoli,未知分类,三套FS模式来自于游戏无限暖暖中的服装,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/36962.png,
36925,无限暖暖的花漾梦萦套装,,,#暖暖｜#服饰｜美化,https://www.nexusmods.com/stardewvalley/mods/36925,FS Nikki_Whispering Blossom,DanTa8045,未知分类,无限暖暖里的花漾梦萦服装！恭喜联动！,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/36925.png,
36944,无限暖暖作物,,,#暖暖｜#服饰｜美化,https://www.nexusmods.com/stardewvalley/mods/36944,Nikki and Love,Long,未知分类,来自《无限暖暖》游戏中的作物，通过CP格式添加为新作物,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/36944.jpg,
23777,暖暖六套衣服,,,#暖暖｜#服饰｜美化,https://www.nexusmods.com/stardewvalley/mods/23777,FS-HD-Luoxue Shining Nikki,Luoxue0426,未知分类,服裝外觀來源為❤️閃耀暖暖❤️遊戲<br /><br />❤️慾望之音❤️<br /><br />❤️璀璨之約❤️<br /><br />❤️星渚之望❤️<br />-------------<br />更新日誌<br />新增<br />奇蹟暖暖系列<br />♥️璀璨星河♥️    ♥️莓粉搖滾♥️    ♥️白天鵝♥️,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/23777.png,
36870,无限暖暖公式服和看板,,,#暖暖｜#服饰｜美化,https://www.nexusmods.com/stardewvalley/mods/36870,FS Infinity Nikki Suit,Yuyan,未知分类,无限暖暖的公式服和看板两套！！<br />恭喜联动！！,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/36870.png,
29879,星之海、星之梦套装,,,#暖暖｜#服饰｜美化,https://www.nexusmods.com/stardewvalley/mods/29879,GuoRen's Nikki Sea of Stars,LuoLI and GuoRen,未知分类,灵感来自于中国游戏《奇迹暖暖》《闪耀暖暖》<br />这是主角暖暖的星之海和星之梦套装 对于暖暖和玩家来说都具有特殊意义,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/29879.jpeg,
23561,主角的两套经典服装,,,#暖暖｜#服饰｜美化,https://www.nexusmods.com/stardewvalley/mods/23561,GuoRen's Nikki Poetic Blooming Clothing,GuoRen,未知分类,灵感来自于中国游戏《奇迹暖暖》《闪耀暖暖》 这是主角暖暖的两套经典服装 把星露谷变成真正的星露暖暖谷吧 希望你能喜欢^^,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/23561.jpeg,
30489,无限暖暖出货箱（无限宝箱）,,,#暖暖｜美化,https://www.nexusmods.com/stardewvalley/mods/30489,Nikki Infinity Box,Sisa,未知分类,将运输箱美化为暖暖的无限宝箱。,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/30489.jpeg,
33154,闪耀暖暖的十顶稀有帽子,,,#暖暖｜#服饰｜美化,https://www.nexusmods.com/stardewvalley/mods/33154,Nikki ten rare hats,Sisa,未知分类,复刻了闪耀暖暖中稀有品质的十顶帽子。,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/33154.jpeg,
33685,无限暖暖浴巾,,,#暖暖｜#服饰｜美化,https://www.nexusmods.com/stardewvalley/mods/33685,bei yuan's Dress up with an Infinity Nikki bath towel,BeiYuan23,未知分类,A new pack inspired by Infinity Nikki<br />灵感源于无限暖暖的新礼包,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/33685.png,
30039,无限暖暖服装（大喵）,,,#暖暖｜#服饰｜美化,https://www.nexusmods.com/stardewvalley/mods/30039,HDNikki,Long,未知分类,来自游戏《无限暖暖》的两套服装，包含三款发型，两件裙子，以及一件动态配饰：主角苏暖暖的伙伴大喵<br /><br />由于是高倍服饰，发型前面可能会被服装遮住，所以其中一条裙子搭配了袖子,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/30039.jpeg,
18887,Emily the Mixologist🍾 调酒师艾米丽,,,#食物｜#调酒,https://www.nexusmods.com/stardewvalley/mods/18887,Emily the Mixologist - Cocktail and Mocktail Shop and Special Orders,Airyn,未知分类,"Expands on Himetarts &amp; Wildflour's HxW Mixology 101 by adding a shop for Emily to sell them at the saloon, as well as 40 special orders involving expanding her stock and creating drinks for townspeople.",https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/18887.png,
18717,🥂HXW Mixology 101 🥂 调酒101,,,#食物｜#调酒,https://www.nexusmods.com/stardewvalley/mods/18717,HXW Mixology 101,HimeTarts and WildflourMods,未知分类,"Adds 50+ new recipes and crafting items focused on craft cocktails, mocktails and mixology - new items include syrups, bitters, fruit juices, alcohols and cocktails/mocktails. Enable/disable alcohol via config option1",https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/18717.png,
37197,扇鱼一巴掌,,,#稀奇古怪mod,https://www.nexusmods.com/stardewvalley/mods/37197,FishSlap,tata,未知分类,"Adds a fun tweak to fishing: if catching a fish takes more than 15 seconds, the game will display a playful message showing exactly how long it took.",https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/37197.png,
12186,季节性哥特式建筑,,,#建筑,https://www.nexusmods.com/stardewvalley/mods/12186,IdaIda's Seasonal Gothic Buildings (for CP and AT),IdaIda,未知分类,Gothic/witchy look for all the farm buildings.,https://raw.githubusercontent.com/jeeeny/nexus-mod/main/images/12186.png,
